alert_timestamp,alert_type,text_hash,session_id,harm_types,risk_score,model_version,recommendation,email_sent,email_reason,splunk_alert_sent,splunk_alert_status
2026-05-08T15:00:31.737238+00:00,threshold,b3be32891c9cf00f5d9dbddd2d92421312d3f8f033074413880596244d20f660,demo-session-1,toxic|insult,0.87,distilbert-jigsaw-v1,Review the event in the Splunk TextThreat dashboard and monitor related session activity.,False,"smtp_error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-48e6dd325ffsm1013865e9.4 - gsmtp'); postmark_api_http_error:401: Request does not contain a valid Server token.",,
2026-05-08T15:00:34.582887+00:00,threshold,989668f7509ffb3c7f06bc6f37b69c316c0fea33415c22e464fdab2ea7f36e6a,demo-session-1,stress,0.84,distilbert-jigsaw-v1,Review the event in the Splunk TextThreat dashboard and monitor related session activity.,False,"smtp_error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-48e6d8d30dbsm3526765e9.1 - gsmtp'); postmark_api_http_error:401: Request does not contain a valid Server token.",,
2026-05-08T15:00:37.316363+00:00,threshold,2bbd326bcc8ea632d17c098c258c73fa92d8e5fde3fa9c43d26b702cd06c1798,demo-session-3,threat|toxic,0.91,distilbert-jigsaw-v1,Immediate escalation to platform trust-and-safety team recommended.,False,"smtp_error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-48e6d8f1a57sm1726625e9.14 - gsmtp'); postmark_api_http_error:401: Request does not contain a valid Server token.",,
2026-05-08T15:00:39.961796+00:00,co_occurrence,b3be32891c9cf00f5d9dbddd2d92421312d3f8f033074413880596244d20f660+989668f7509ffb3c7f06bc6f37b69c316c0fea33415c22e464fdab2ea7f36e6a,demo-session-1,insult|stress|toxic,0.97,distilbert-jigsaw-v1,Escalate to platform moderator for cross-signal review.,False,"smtp_error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 5b1f17b1804b1-48e6d8e4f8csm1851645e9.12 - gsmtp'); postmark_api_http_error:401: Request does not contain a valid Server token.",,
